
Year,Month,tmax,tmin,ppt
1969,4,15.55889,-1.48988,16.32235
1969,5,23.02619,3.96749,4.81345
1969,6,23.40205,7.00283,46.3819
1969,7,31.86398,10.65403,2.49926
1969,8,33.52286,9.01879,0.08763
1969,9,28.93013,6.93457,2.61319
1969,10,15.69627,-0.98433,31.19223
1969,11,12.95852,-5.29995,9.81202
1969,12,7.32935,-5.66332,69.64145
1970,1,5.92848,-4.49179,54.11849
1970,2,10.83151,-4.26337,9.61632
1970,3,10.71537,-5.15473,15.00004
1970,4,11.66142,-4.52567,15.23442
1970,5,20.93622,2.68693,11.33451
1970,6,25.41196,7.36095,64.0349
1970,7,32.38986,11.45587,4.94514
1970,8,33.33398,10.43507,5.87144
1970,9,25.11577,3.28025,3.68698
1970,10,17.88057,-1.0642,11.33342
1970,11,11.64643,-0.58346,52.36962
1970,12,3.84273,-7.17849,40.51398
1971,1,6.75684,-6.48161,14.47947
1971,2,8.56597,-6.23076,9.63572
1971,3,9.40628,-5.2814,32.30946
1971,4,13.84962,-2.18432,22.29141
1971,5,17.83466,2.20375,47.9
1971,6,23.51402,5.77731,27.55239
1971,7,31.98389,11.49858,8.36215
1971,8,33.33794,12.36625,10.5099
1971,9,24.45626,4.0105,13.28455
1971,10,16.77422,-0.61169,9.28047
1971,11,10.45526,-3.89418,25.20009
1971,12,3.33199,-8.75587,49.13468
1972,1,3.35107,-9.30341,14.79371
1972,2,8.23835,-5.14369,20.85178
1972,3,14.66027,-2.1354,12.46523
1972,4,14.0413,-2.14721,12.5309
1972,5,22.22299,3.22705,11.83207
1972,6,26.74666,7.99784,17.19475
1972,7,32.34591,11.03178,1.47253
1972,8,31.82908,10.71234,2.12053
1972,9,23.97856,5.06915,20.7523
1972,10,17.10142,1.76286,33.0576
1972,11,8.6832,-2.96227,38.88997
1972,12,1.95789,-10.62094,26.64583
1973,1,3.30815,-8.6947,37.5556
1973,2,6.9714,-4.0503,21.94536
1973,3,8.26809,-4.13484,22.05061
1973,4,14.36614,-2.2462,16.71632
1973,5,22.66601,4.41938,21.77487
1973,6,26.76771,6.91961,3.90464
1973,7,32.34098,10.79717,5.46701
1973,8,31.30164,10.03074,8.96194
1973,9,26.10784,5.37429,13.20603
1973,10,19.56287,0.18143,18.60625
1973,11,9.66058,-0.94804,44.84648
1973,12,7.39595,-3.66165,35.05286
1974,1,4.4879,-8.06671,23.46376
1974,2,7.66886,-7.02388,13.76541
1974,3,10.80684,-2.70964,33.18542
1974,4,13.77822,-2.38952,17.54536
1974,5,20.88459,2.38339,2.85334
1974,6,28.95388,7.12016,1.20312
1974,7,30.94779,10.11602,21.85143
1974,8,31.24599,9.30995,14.0944
1974,9,29.50579,5.62257,0
1974,10,19.80796,0.80891,26.4069
1974,11,12.08725,-3.52503,8.09592
1974,12,5.32161,-7.06605,34.77591
1975,1,5.23022,-8.74014,18.49757
1975,2,5.26082,-6.05348,34.0513
1975,3,7.98359,-3.95843,36.16128
1975,4,9.40731,-4.01957,25.17274
1975,5,19.66135,1.48782,10.74657
1975,6,24.42869,5.69238,19.58837
1975,7,31.58179,11.71408,12.59253
1975,8,28.9626,8.93166,26.10369
1975,9,28.35871,7.13255,6.93898
1975,10,17.82516,1.57179,37.17044
1975,11,10.03896,-5.07742,10.45868
1975,12,8.21633,-5.81843,9.79878
1976,1,6.83755,-7.63151,10.64284
1976,2,7.94169,-5.19317,24.88299
1976,3,9.78487,-6.41859,8.17765
1976,4,13.9376,-2.78379,11.4309
1976,5,22.96227,3.1338,5.16662
1976,6,24.40339,5.23386,19.92878
1976,7,31.77649,10.84713,30.14102
1976,8,26.79031,8.31937,60.2839
1976,9,26.65787,7.90855,33.68381
1976,10,20.77305,0.21585,8.85677
1976,11,15.42496,-3.92513,4.19006
1976,12,8.57691,-10.35457,1.00647
1977,1,4.36526,-10.69824,15.70694
1977,2,10.70953,-7.09155,8.63646
1977,3,8.87289,-6.35526,7.94332
1977,4,18.95452,-1.14928,3.30807
1977,5,15.02043,0.96696,39.77214
1977,6,28.07573,9.49529,37.90616
1977,7,31.60312,10.77802,4.27934
1977,8,31.78859,11.72865,13.3474
1977,9,25.90686,6.23273,13.54015
